KOD	BENÄMNING	POANG
NAB002	Hälsoekonomi                                                                                                            	7.5
NAB003	Analys av ekonomiska data                                                                                               	7.5
NAB004	Tillämpad matematik för ekonomer                                                                                        	7.5
NAB005	Industriell organisation                                                                                                	7.5
NAB006	Nationalekonomi, 21-40p                                                                                                 	30
NAB007	Economics of Networks                                                                                                   	7.5
NAB008	Makroteori B                                                                                                            	7.5
NAB009	International Economics                                                                                                 	7.5
NAF101	Anatomi och fysiologi                                                                                                   	7.5
NAK115	Akupunktur vid symtom- och sjukdomsbehandling                                                                           	7.5
NAS201	Akutsjukvård                                                                                                            	15
NEC121	Matematik                                                                                                               	15
NEO201	Neonatologi                                                                                                             	7.5
NEV101	NEUROVETENSKAP                                                                                                          	15
NFH110	Barns och familjers hälsa                                                                                               	15
NFO100	Folkhälsovetenskap                                                                                                      	30
NFO101	Statistik för folkhälsovetenskap                                                                                        	7.5
NFO102	Folkhälsovetenskap                                                                                                      	3
NFO103	Folkhälsovetenskap                                                                                                      	7.5
NFO104	Folkhälsovetenskap                                                                                                      	7.5
NFO105	Folkhälsovetenskap                                                                                                      	7.5
NFO200	Hälsa i ett tvärkulturellt perspektiv                                                                                   	7.5
NFO201	Specialistpraktik barnsjukvård samt Äldres sjukvård                                                                     	30
NFO202	Epidemiologi                                                                                                            	7.5
NFO203	Medicinska aspekter på terapeutisk rekreation                                                                           	7.5
NFO204	Statistik för folkhälsovetenskap                                                                                        	7.5
NFOX41	Uppsatsarbete                                                                                                           	30
NFY001	Fysik                                                                                                                   	7.5
NFY002	Fysik, fortsättningskurs                                                                                                	7.5
NFY100	Fysik 1                                                                                                                 	30
NHB105	Humanbiologi                                                                                                            	7.5
NHH301	Hälsoproblem och hälsorisker I                                                                                          	7.5
NHH302	Hälsoproblem och Hälsorisker II                                                                                         	7.5
NHS301	Hälsofrämjande och sjukdomsförebyggande arbete I                                                                        	7.5
NHS302	Hälsofrämjande och sjukdomsförebyggande arbete II                                                                       	7.5
NIH101	Informationshantering i vården                                                                                          	7.5
NKB100	Katastrofberedskap ur ett nationellt och internationellt perspektiv                                                     	7.5
NKN101	Kost och nutrition                                                                                                      	7.5
NKN201	Kost och nutrition                                                                                                      	15
NMA006	Matematik                                                                                                               	7.5
NMA100	Matematik för medieteknik                                                                                               	7.5
NMA116	Tillämpad analys                                                                                                        	7.5
NMA200	Matematik, 21-40 poäng                                                                                                  	30
NMA201	Flervariabelanalys                                                                                                      	15
NMA202	Numerisk analys                                                                                                         	7.5
NMA300	Matematik, 41-60 poäng                                                                                                  	30
NMA301	Mathematics, Fractal Geometry                                                                                           	7.5
NMA302	Matematik - Examensarbete                                                                                               	15
NMA303	Analytiska funktioner                                                                                                   	7.5
NMA400	Matematik, 61-80 poäng                                                                                                  	30
NMA401	Matematik 4                                                                                                             	30
NMO201	Medicinska aspekter vid ortopedisk vård                                                                                 	15
NMT100	Medicinsk teknik                                                                                                        	15
NOG200	Specifik omvårdnad med inriktning mot gynekologi                                                                        	15
NOH105	Oral hälsa för äldre                                                                                                    	7.5
NOO200	Omvårdnadens teori och empiri                                                                                           	7.5
NOO201	Omvårdnad - tillämpningsdel inom ortopedisk vård                                                                        	7.5
NOO202	Omvårdnad                                                                                                               	30
NOO203	Handledningsmetodik i klinisk sjuksköterskeutbildning                                                                   	7.5
NPL200	Palliativ vård i livets slutskede                                                                                       	7.5
NRH201	Rabilitering av arm och hand                                                                                            	7.5
NSB201	Specialistutbildning för sjuksköterskor                                                                                 	60
NSF105	Specifik farmakologi                                                                                                    	7.5
NSK101	Allmän akutsjukvård ur ett medicinskt perspektiv                                                                        	7.5
NSK201	Specifik omvårdnad med inriktning mot primärvård                                                                        	7.5
NSK202	Kost och Nutrition för sjuksköterskor                                                                                   	7.5
NSK203	Omvårdnadens teori och empiri                                                                                           	7.5
NSK204	Medicinska aspekter vid cancersjukdomar                                                                                 	7.5
NSK205	Specifik omvårdnad inom cancervård                                                                                      	7.5
NSK206	Omvårdnad - tillämpningsdel inom cancervård                                                                             	7.5
NSK207	Specifik omvårdnad m, inr mot somatiska sjukdomstillstånd                                                               	7.5
NSK208	Specifik omvårdnad med inriktning mot akutsjukvård                                                                      	7.5
NSO201	Specifik omvårdnad m inr mot anestesisjukvård                                                                           	30
NSO202	Specifik omvårdnad m inr mot intensivvård                                                                               	30
NSS201	Smärta och smärtbehandling för smärtombud - grundkurs                                                                   	7.5
NSS202	Smärta och smärtbehandling för smärtombud - påbyggnadskurs                                                              	7.5
NST105	Statistik, grundkurs                                                                                                    	7.5
NST106	Statistik för hälsoekonomer                                                                                             	7.5
NTI101	Tumör-och inflammationsbiologi                                                                                          	7.5
NTN200	Transcultural Nursing                                                                                                   	4.5
NTR120	Therapeutic Recreation                                                                                                  	30
NTT101	Terminalanestesi för tandsköterskor                                                                                     	7.5
NUM201	Undervisningsmetodik i klinisk utbildning                                                                               	7.5
NUT101	Omvårdnad med inriktning mot kost och nutrition                                                                         	15
NVD101	Vårddokumentation                                                                                                       	7.5
NVD201	Smärta och smärtbehandling                                                                                              	15
NVD202	Vetenskapsteori och vetenskaplig metodik                                                                                	7.5
NVD203	Vårdfilosofi och etik                                                                                                   	7.5
NVD204	Vårdvetenskap/Omvårdnad                                                                                                 	30
NVV201	Vårdvetenskap / omvårdnad, 21-40 poäng                                                                                  	30
OAA001	Informations- och kommunikationsteknologi (ICT) & pedagogik                                                             	7.5
OAA002	Klinisk undervisning med inr mot allmän omvårdnad                                                                       	7.5
OAA003	Humanbiologi                                                                                                            	15
OAA004	Barns och ungdomars hälsa                                                                                               	7.5
OAA005	Vuxnas och äldres hälsa                                                                                                 	7.5
OAA006	Statistik och undersökningsmetodik                                                                                      	4.5
OAA007	Ekologi/Kulturlandskap                                                                                                  	4.5
OAA008	Samhälls- och beteendevetenskap                                                                                         	15
OAA009	Hälsa - folkhälsa, samhälle och miljö                                                                                   	7.5
OAA010	Projektprocesser och kompetenser inom organisationen                                                                    	7.5
OAB001	Akutsjukvård                                                                                                            	30
OMA001	Pedodonti för tandsköterskor                                                                                            	7.5
OMA002	Omvårdnadens grunder                                                                                                    	7.5
OMA003	Specifik omvårdnad med inriktning mot primärvård                                                                        	7.5
OMA004	Specifik omvårdnad ur ett familjeperspektiv                                                                             	7.5
OMA005	Omvårdnadsprocessen med inriktning mot somatiska sjukdomstillstånd                                                      	7.5
OMA006	Specifik omvårdnad med inriktning mot psykiska sjukdomstillstånd                                                        	7.5
OMB001	Handledningsmetodik i klinisk sjuksköterskeutbildning                                                                   	7.5
OMB002	Vårdvetenskap/omvårdnad, 21-40 poäng                                                                                    	30
OMB004	Specifik omvårdnad med inriktning mot somatiska sjukdomstillstånd                                                       	7.5
OMB005	Specifik omvårdnad med inriktning mot akutsjukvård                                                                      	7.5
OMB006	Omvårdnadens filosofi och etik                                                                                          	7.5
OMB007	Omvårdnadens teori och empiri                                                                                           	7.5
OMB008	Informationsmetodik och rådgivning i vård och omvårdnad                                                                 	7.5
OMB009	Specifik omvårdnad m inr mot anestesisjukvård                                                                           	30
OMB010	Specifik omvårdnad m inr mot intensivvård                                                                               	30
OMB011	Spec,pr, inr, barnhälsovård och barnsjukvård                                                                            	15
OMC001	Sjuksköterskans profession                                                                                              	15
OMC002	Examensarbete                                                                                                           	15
OMC003	Organisation och ledarskap                                                                                              	7.5
OMD001	Filosofi, teori och etik inom omvårdnad                                                                                 	7.5
OMD002	Omvårdnad av personer med demenssjukdom                                                                                 	7.5
OMV101	OMVÅRDNADSHANDLEDNING                                                                                                   	15
ONK101	Onkologi                                                                                                                	7.5
ORT101	Ortopedisk manuell terapi/medicin                                                                                       	30
PA1101	Objektorienterad Systemutveckling                                                                                       	7.5
PA1102	Individuellt programvaruprojekt                                                                                         	7.5
PA1103	Objektorienterad systemutveckling och databaser                                                                         	7.5
PA1104	Webbapplikationsprojekt                                                                                                 	15
PA1105	Programvarudesign och utvecklingsmetodik                                                                                	15
PA1201	Programvaruprojekt i grupp                                                                                              	15
PA1202	Projekt inom Infocom                                                                                                    	15
PA1203	Stort spelutvecklingsprojekt i grupp                                                                                    	22.5
PA1204	Projekt inom Infocom - Industriell ekonomi                                                                              	15
PA1205	Systemutvecklingsprojekt med användarmedverkan                                                                          	15
PA1301	Programvaruarkitektur och kvalitet                                                                                      	7.5
PA1302	Självstudiekurs i programvaruteknik                                                                                     	7.5
PA1303	Mätningar av programvara                                                                                                	7.5
PA1304	Stort programvaruprojekt i grupp                                                                                        	30
PA1305	Programvaruarkitektur och kvalitet                                                                                      	7.5
PA1306	Självstudiekurs i programvaruteknik                                                                                     	15
PA1307	Systemkonfigurationshantering                                                                                           	7.5
PA1308	Programvaruarkitektur och kvalitet                                                                                      	7.5
PA1309	Programvaruarkitektur och kvalitet                                                                                      	7.5
PA1310	Praktisk kravhantering                                                                                                  	7.5
PA1311	Praktisk kravhantering                                                                                                  	7.5
PA2401	Fördjupningskurs i programvaruteknik                                                                                    	7.5
PA2402	Kravhantering                                                                                                           	7.5
PA2403	Magisterarbete i programvaruteknik                                                                                      	30
PA2404	Forskningsmetodik i programvaruteknik och datavetenskap                                                                 	7.5
PA2405	Verifiering och validering                                                                                              	7.5
PA2406	Praktisk projektstyrning inom programvarutillverkning                                                                   	7.5
PA2407	Praktisk projektstyrning inom programvarutillverkning                                                                   	7.5
PA2408	Kvalitetsstyrning                                                                                                       	7.5
PA2409	Kravhantering                                                                                                           	7.5
PA2410	Produktlinjearkitektur                                                                                                  	7.5
PA2411	Global programvaruteknik                                                                                                	7.5
PA2412	Kvalitetsstyrning                                                                                                       	7.5
PA2413	Praktisk kravhantering                                                                                                  	7.5
PA2414	Avancerad projektstyrning inom programvarutillverkning                                                                  	7.5
PA2415	Avancerad projektstyrning inom programvarutillverkning                                                                  	7.5
PA2416	Serverarkitekturer                                                                                                      	7.5
PA2417	Storskalig kravhantering                                                                                                	7.5
PA2418	Produktlinjearkitektur                                                                                                  	7.5
PAA001	Individuellt programvaruprojekt                                                                                         	7.5
PAA002	Objektorienterad systemutveckling                                                                                       	7.5
PAA003	Systemutveckling                                                                                                        	7.5
PAA004	Individuellt programvaruprojekt                                                                                         	7.5
PAA005	Metoder och processer i programvaruutveckling                                                                           	7.5
PAA006	Programvarudesign                                                                                                       	7.5
PAB001	Programvaruprojekt i grupp för Datavetenskapligt program                                                                	15
PAB002	Programvaruprojekt i grupp                                                                                              	15
PAB003	Work Practice, design och programvaruutveckling                                                                         	22.5
PAB004	Systemutvecklingsprojekt                                                                                                	7.5
PAB005	Programvaruprojekt i grupp                                                                                              	15
PAB006	Programvaruprojekt i grupp för Datavetenskapligt program                                                                	15
PAB007	Systemutvecklingsprojekt med användarmedverkan                                                                          	15
PAB008	Projekt inom Infocom                                                                                                    	15
PAB009	Stort spelutvecklingsprojekt i grupp                                                                                    	22.5
PAB010	Projekt inom Infocom                                                                                                    	15
PAB011	Projekt inom Infocom - Industriell ekonomi                                                                              	15
PAC001	Evolutionär programvaruutveckling med användarmedverkan                                                                 	7.5
PAC002	Programvaruarkitektur                                                                                                   	7.5
PAC003	Mätningar av programvara                                                                                                	7.5
PAC004	Stort programvaruprojekt                                                                                                	30
PAC005	Projektstyrning för yrkesverksamma                                                                                      	7.5
PAC006	Programvaruarkitektur för yrkesverksamma                                                                                	4.5
PAC007	Systemkonfigurationshantering                                                                                           	7.5
PAC008	Industriell programvaruutveckling                                                                                       	15
PAC009	Projektstyrning för industriell ekonomi                                                                                 	7.5
PAD001	Kravhantering                                                                                                           	7.5
PAD002	Verifiering och validering                                                                                              	7.5
PAD003	Projekt- och kvalitetsstyrning                                                                                          	7.5
PAD004	Fördjupningskurs i programvaruteknik                                                                                    	7.5
PAD005	Projektstyrning                                                                                                         	7.5
PAD006	Kvalitetsstyrning                                                                                                       	7.5
PAD007	Kunskapsmanagement                                                                                                      	7.5
PAD008	Produktlinjearkitektur                                                                                                  	7.5
PAD009	Magisterarbete i programvaruteknik                                                                                      	30
PAD010	Magisterarbete i programvaruteknik                                                                                      	15
PAD011	Kravhantering för yrkesverksamma                                                                                        	4.5
PAD012	Verifiering och validering för yrkesverksamma                                                                           	4.5
PAD013	Forskningsmetodik i programvaruteknik/datavetenskap                                                                     	7.5
PAD014	Projektstyrning                                                                                                         	7.5
PAD015	Kvalitetsstyrning                                                                                                       	7.5
PAD016	Kravhantering                                                                                                           	7.5
PAD017	Verifiering och validering                                                                                              	7.5
PAE001	Forskningsmetodik                                                                                                       	9
PAE002	Systemkomplexitet                                                                                                       	7.5
PCP900	ÖSTERSJÖKUNSKAP, 1-10 POÄNG                                                                                             	15
PDG101	Pedagogik, allmän kurs, 1-20 poäng                                                                                      	30
PDG102	Pedagogik, 1-20 poäng                                                                                                   	30
PDG201	Pedagogik 21-40 poäng                                                                                                   	30
PDO001	Pedodonti för tandsköterskor                                                                                            	7.5
PE1101	Digitalt berättande                                                                                                     	7.5
PE1102	Distansutbildningspedagogik                                                                                             	7.5
PE1103	Introduktion till högskolestudier                                                                                       	7.5
PE1104	Pedagogik med inriktning mot lärande i IT-samhället - grundkurs                                                         	30
PE1105	Kompetens och medarbetarskap i arbetslivet                                                                              	7.5
PE1106	Scientific Communication and Digital Libraries                                                                          	7.5
PE1107	Grundläggande programkurs lärande, utveckling och kommunikation                                                         	30
PE1108	Introduktion till högre studier i Sverige                                                                               	7.5
PE1109	Lärande och utveckling i arbetslivet                                                                                    	7.5
PE1110	Digitalt berättande och lärande                                                                                         	15
PE1111	Naturvetenskap i mobilen                                                                                                	30
PE1112	Pedagogik, grundkurs                                                                                                    	30
PE1113	Det vidgade textbegreppet: läs - och skrivarter i moderna mediekulturer                                                 	30
PE1201	Pedagogik med inriktning mot lärande i IT-samhället - fortsättningskurs                                                 	30
PE1202	Pedagogik - lärande, utveckling och kommunikation                                                                       	30
PE1203	Digitalt berättande och lärande II                                                                                      	7.5
PE1204	Kollaborativt lärande med datorstöd                                                                                     	7.5
PE1301	Pedagogik, fördjupningskurs                                                                                             	30
PE1302	Pedagogik, fördjupningskurs                                                                                             	30
PE1303	Fördjupningskurs, pedagogik                                                                                             	30
PE2401	Högskolepedagogik - introduktionskurs                                                                                   	7.5
PE2402	Higher education pedagogy - Introductory course                                                                         	7.5
PE2403	Högskolepedagogik - projektkurs                                                                                         	7.5
PE2404	Higher education pedagogy - project course                                                                              	7.5
PEA001	Nätbaserad undervisning                                                                                                 	7.5
PEA002	Högskolepedagogik                                                                                                       	7.5
PEA003	Bibliotekspedagogik                                                                                                     	7.5
PEA004	Pedagogik, allmän kurs, 1-20 poäng                                                                                      	30
PEA005	Pedagogik för systemutvecklare                                                                                          	7.5
PEA006	Bibliotekspedagogik                                                                                                     	7.5
PEA007	Grundkurs i pedagogik, 11-20p                                                                                           	15
PEA008	Högskolepedagogik med inriktning mot flexibelt lärande                                                                  	7.5
PEA009	Introduktion till högskolestudier                                                                                       	7.5
PEA010	Högskolepedagogik med inriktning mot handledning av vetenskapligt arbete                                                	7.5
PEA011	Basics of Electronic Publishing                                                                                         	3
PEA012	Understanding Web/Data Base Retrieval                                                                                   	3
PEA013	Grundläggande pedagogik och didaktik                                                                                    	7.5
PEA014	Distansutbildningspedagogik                                                                                             	7.5
PEA015	Pedagogik, allmän kurs, 1-20 poäng                                                                                      	30
PEA016	Bibliotekspedagogik                                                                                                     	7.5
PEA017	Problembaserat lärande med datorstöd                                                                                    	7.5
PEA018	Högskolepedagogisk introduktionskurs                                                                                    	7.5
PEA019	Grundläggande pedagogik och didaktik för lärare                                                                         	7.5
PEA020	Distansutbildningspedagogik för lärare                                                                                  	7.5
PEA021	Handledning inom IT-stödd distansundervisning                                                                           	7.5
PEA022	How to find and disseminate free scientific information on the Web                                                      	3
PEA023	Teaching Information Literacy                                                                                           	3
PEA024	Basics of creating and validating informative Web pages                                                                 	3
PEA025	Högskolepedagogik m inr m praktiskt genomförande av handledning i vetenskapligt arbete                                  	7.5
PEA026	Distansutbildningspedagogik                                                                                             	7.5
PEA027	Grundläggande pedagogik och didaktik                                                                                    	7.5
PEA028	Handledning inom IT-stödd distansutbildning                                                                             	7.5
PEA029	Digital Story Telling                                                                                                   	7.5
PEA030	Problemorienterade lärprocesser inom IT-stödd distansundervisning                                                       	7.5
PEA031	Pedagogik i arbetslivet                                                                                                 	7.5
PEA032	Pedagogik, allmän kurs, 1-20 poäng                                                                                      	30
PEA033	Vetenskaplig kommunikation och digitala bibliotek                                                                       	7.5
PEA034	Lärande och förändring i organisationer                                                                                 	7.5
PEA035	Kommunikation i informationssamhället                                                                                   	7.5
PEB001	Pedagogik, allmän kurs, 21-40 poäng                                                                                     	30
PEB002	Pedagogik, 21-40 poäng                                                                                                  	30
PEB003	Pedagogik, 21-40 poäng                                                                                                  	30
PEB004	Examensarbete i magisterprogrammet Pedagogik för IT-stödd distansutbildning                                             	15
PEB005	Familjearbete                                                                                                           	7.5
PEB006	Kollaborativt lärande med datorstöd                                                                                     	7.5
PEB007	Praktiken som kunskapsform, klientens vardagsliv som oavsiktligt lärande                                                	15
PEC001	Pedagogik, fördjupningskurs, 41-60 poäng                                                                                	30
PEC002	Lärandet och lärandets förutsättningar i teori och praktik                                                              	15
PEC003	Ämnesdidaktik i teori och praktik                                                                                       	22.5
PEC004	Gymnasieläraren i skolverksamheten                                                                                      	7.5
PEC005	Gymnasieelevers villkor och utveckling i skola & samhälle                                                               	7.5
PEC006	Examensarbete                                                                                                           	7.5
PEC007	Högskolepedagogik m inr mot handledning av vetenskapligt a                                                              	7.5
PED001	Högskolepedagogik - introduktionskurs                                                                                   	7.5
PED002	Högskolepedagogik - fortsättningskurs                                                                                   	7.5
PED101	Pedodonti för tandsköterskor                                                                                            	7.5
PER101	Perioperativ omvårdnad för sjuksköterskor                                                                               	15
PGP900	Att Börja Undervisa                                                                                                     	7.5
POV101	PROFESSIONELL OMVÅRDNAD OCH VÅRDMILJÖ                                                                                   	7.5
PPE100	IT-pedagogik för bibliotekarier                                                                                         	7.5
PPE101	Bibliotekspedagogik                                                                                                     	7.5
PPE102	Bibliotekspedagogik                                                                                                     	7.5
PPE120	Pedagogik, allmän kurs, 1-20 poäng                                                                                      	30
PPE220	Pedagogik, allmän kurs, 21-40 poäng                                                                                     	30
PPE320	Pedagogik, fördjupningskurs                                                                                             	30
PPU401	Gymnasieläraren i skolverksamheten                                                                                      	6
PPU402	Lärandet och lärandets förutsättningar i teori och praktik                                                              	15
PPU403	Gymnasieelevers villkor och utveckling i skola & samhälle                                                               	9
PPU404	Ämnesdidaktik i teori och praktik                                                                                       	22.5
PPU406	Gymnasieläraren i skolverksamheten                                                                                      	7.5
PPU407	Gymnasieelevers villkor och utveckling i skola & samhälle                                                               	7.5
PPUX40	Examensarbete                                                                                                           	7.5
PRV101	Prehospital vård i ambulans- och akutbil                                                                                	15
PRV102	Prehospital sjukvård för sjuksköterskor                                                                                 	15
PRV201	Prehospital vård för ambulanssjukvårdare                                                                                	15
PS1101	Arbetspsykologi                                                                                                         	7.5
PS1102	Gruppsykologi med inriktning arbetsmiljö                                                                                	7.5
PS1103	Kognitionspsykologi                                                                                                     	7.5
PS1104	Personlighetspsykologi                                                                                                  	7.5
PS1105	Psykologi i arbetslivet                                                                                                 	30
PS1106	Psykologi, allmän ämnesintroduktion                                                                                     	7.5
PS1107	Psykologi, grundkurs                                                                                                    	30
PS1108	Psykologiska perspektiv på individen med betoning arbetsmiljö                                                           	7.5
PS1109	Kognitionspsykologiskt perspektiv med betoning arbetsmiljö och IT                                                       	7.5
PS1110	Rekrytering och urval                                                                                                   	7.5
PS1111	Psykologi, grundkurs                                                                                                    	30
PS1112	Psykologi, grundkurs                                                                                                    	30
PS1113	Arbetspsykologi, grundkurs                                                                                              	7.5
PS1114	Arbetspsykologi, ledarskap och gruppsykologi                                                                            	7.5
PS1115	Kognitionspsykologi                                                                                                     	7.5
PS1116	Kognitionpsykologi, känslor, tankar och perception                                                                      	7.5
PS1117	Psykologi, allmän ämnesintroduktion                                                                                     	7.5
PS1201	Psykologi, fortsättningskurs                                                                                            	30
PS1202	Profilkurs Projektarbete                                                                                                	30
PS1203	Psykologi - lärande, utveckling och kommunikation                                                                       	30
PS1204	Psykologi, fortsättningskurs                                                                                            	30
PS1205	Kreativitet, Idéer och Innovation ur ett psykologiskt perspektiv                                                        	7.5
PS1301	Psykologi, psykologisk forskningsmetodik                                                                                	30
PS1302	Fördjupningskurs, psykologi                                                                                             	30
PSA001	Psykologi, allmän ämnesintroduktion                                                                                     	7.5
PSA002	Kognitionspsykologi                                                                                                     	7.5
PSA003	Personlighetspsykologi                                                                                                  	7.5
PSA004	Arbetspsykologi                                                                                                         	7.5
PSA005	Psykologi, allmän kurs, 1-20 poäng                                                                                      	30
PSA006	Psykologi, allmän kurs, 1-20 poäng                                                                                      	30
PSA007	Psykologi, allmän ämnesintroduktion                                                                                     	7.5
